=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2022.08.11 18:22:29 =~=~=~=~=~=~=~=~=~=~=~=
14575.54,784.52,681.68,377.43,248.10,599.71,623.55,846.25,677.48,567.47,576.02,547.64,456.24,185.26,328.90,80.83,115.96,205.30,477.99,375.92,420.27,236.38,431.48,292.40,410.84,218.70,1111.29,1085.50,876.94,475.50,409.67,665.70,881.52,594.63,276.84,334.79,300.81,305.08,137.08,402.43,288.04,468.52,496.03,540.80,426.86,332.12,448.73,841.66,391.51,679.83,866.56,733.94,151.43,221.18,281.67,79.18,254.06,174.72,492.25,1158.79,1273.00,545.15,756.77
16505.66,678.91,421.12,193.73,180.21,204.18,380.65,264.73,387.94,273.26,326.38,320.31,258.65,215.97,710.71,1252.93,498.70,164.72,588.81,1040.31,760.27,393.23,432.18,238.62,519.21,588.79,294.60,816.72,656.62,401.72,498.28,583.07,502.48,253.99,590.93,392.57,223.18,273.87,554.75,420.77,273.32,375.11,493.77,404.06,37.40,18.39,90.26,140.37,499.22,752.81,354.40,555.51,734.67,572.65,316.09,363.93,714.78,651.69,273.42,641.25,564.70,401.99,300.67
15084.92,791.74,685.38,837.60,548.80,379.32,127.85,284.97,120.15,569.09,407.47,266.42,414.55,657.15,545.37,508.09,372.14,259.15,291.81,690.63,758.49,221.05,683.71,600.55,515.75,130.62,638.23,349.04,325.66,487.56,499.91,322.86,501.04,639.88,551.88,531.36,175.06,554.36,721.57,604.40,331.06,297.84,532.64,250.09,234.56,571.60,732.77,560.35,48.55,475.98,662.00,704.02,274.47,169.72,319.73,227.91,924.56,1052.50,876.91,694.75,569.81,264.39,419.16
14937.92,158.99,343.04,365.70,748.32,593.07,474.62,795.78,941.23,318.05,414.87,417.72,340.65,365.00,297.85,390.87,505.73,848.49,598.65,96.24,686.58,889.18,868.10,536.22,779.73,1085.47,743.06,519.54,467.22,496.46,104.47,236.73,916.29,663.30,826.83,1014.89,688.64,705.16,390.30,431.06,122.82,303.86,683.50,202.73,772.95,415.40,292.69,656.22,865.48,427.70,77.12,286.06,409.68,200.29,508.23,589.05,797.22,612.24,177.55,412.60,60.15,289.49,289.55
15300.48,931.93,587.02,213.23,275.95,425.32,137.92,261.77,237.99,163.47,417.18,557.31,801.83,464.41,117.83,421.87,539.25,183.99,671.71,830.03,320.79,194.71,413.54,499.53,709.96,404.02,204.16,696.71,608.55,40.58,285.09,876.71,878.15,588.50,308.30,414.24,413.02,420.52,547.90,388.32,539.77,580.43,616.05,944.62,565.96,729.17,804.63,314.10,622.30,559.67,350.25,403.09,530.07,287.30,673.09,218.43,258.23,774.93,1286.54,1361.12,607.04,457.60,681.78
14892.11,401.86,527.21,286.23,304.10,258.18,308.70,117.29,563.26,655.82,814.56,842.14,96.73,211.59,420.51,679.12,118.18,704.89,908.55,524.08,233.59,567.83,762.19,513.51,489.28,655.17,503.65,595.40,782.44,411.98,235.37,933.50,625.29,546.07,677.58,604.83,254.76,179.77,253.06,327.39,353.69,808.26,347.07,57.86,836.95,780.28,207.03,68.82,215.19,49.86,742.33,644.92,789.84,185.76,598.15,690.83,598.03,462.05,550.75,210.38,320.48,675.63,303.27
15288.48,464.64,193.45,64.64,370.83,1123.72,1331.44,239.65,679.00,350.05,339.88,444.33,361.68,163.09,659.16,547.84,152.15,308.79,442.02,219.11,230.34,247.66,501.88,660.23,634.52,1344.84,1022.44,694.43,586.91,363.14,183.68,769.82,719.44,705.32,862.67,642.29,610.49,392.53,664.24,535.22,151.51,798.38,1125.04,939.99,593.40,467.92,172.02,426.58,433.55,692.62,433.34,95.28,148.00,271.59,376.94,282.96,411.19,601.90,829.13,28.45,532.41,863.19,610.59
15594.78,621.48,380.53,342.10,285.93,655.42,1349.86,560.01,157.26,114.26,375.41,657.61,959.66,1126.83,696.89,384.65,543.64,520.52,480.06,578.86,386.60,46.64,283.47,754.42,507.08,323.42,48.37,257.38,541.16,575.41,269.70,360.71,863.39,998.46,544.27,284.47,183.44,669.19,695.03,466.64,227.21,556.95,429.47,584.68,717.67,748.99,631.17,456.79,299.31,288.53,201.91,397.49,934.92,590.87,710.16,905.41,758.01,610.15,875.56,122.77,754.05,578.70,196.39
15418.66,580.11,624.97,494.81,457.52,435.46,174.36,425.34,652.93,672.70,624.65,438.99,220.60,509.13,346.35,790.26,1221.44,598.82,426.28,564.17,329.87,226.46,146.49,569.74,615.64,29.77,65.61,291.84,602.98,859.55,978.80,674.68,604.34,1046.83,1176.97,743.73,202.30,132.79,415.10,471.23,387.66,759.42,719.96,240.76,805.64,810.27,232.46,686.43,695.25,319.53,283.78,262.76,391.43,624.95,1126.34,339.09,242.23,234.26,237.45,544.67,328.18,279.02,483.62
15287.81,462.17,555.88,536.27,306.77,238.05,374.06,313.02,346.91,644.33,528.80,435.92,463.92,918.24,649.36,396.40,406.21,506.75,412.79,353.74,507.00,331.92,457.43,536.48,530.56,553.38,317.24,494.05,504.40,375.37,99.73,231.59,374.49,165.32,446.59,565.43,567.75,562.57,473.87,352.56,510.45,263.15,369.60,180.73,708.37,734.30,173.14,410.64,200.16,298.53,735.48,677.85,842.07,568.81,764.85,1030.00,686.10,317.02,865.87,839.20,717.68,542.15,857.81
